time	V(n001)	V(n006)
4.025259767329868e-02	-2.992149e+01	2.992149e+01
4.122916017329868e-02	-2.992149e+01	2.992149e+01
4.220572267329868e-02	-2.992149e+01	2.992149e+01
4.318228517329868e-02	-2.992149e+01	2.992149e+01
4.400466711522830e-02	-2.992149e+01	2.992149e+01
4.435498287634844e-02	-2.992428e+01	2.992428e+01
4.468992465575413e-02	-2.993404e+01	2.993404e+01
4.475173941871039e-02	-2.993871e+01	2.993871e+01
4.487536894462291e-02	-2.995291e+01	2.995291e+01
4.512262799644795e-02	-2.997821e+01	2.997821e+01
4.549965838154030e-02	-2.999802e+01	2.999802e+01
4.611231530724937e-02	-3.000465e+01	3.000465e+01
4.708887780724937e-02	-3.000465e+01	3.000465e+01
4.806544030724937e-02	-3.000465e+01	3.000465e+01
4.904200280724937e-02	-3.000465e+01	3.000465e+01
5.001856530724937e-02	-3.000465e+01	3.000465e+01
5.099512780724937e-02	-3.000465e+01	3.000465e+01
5.197169030724937e-02	-3.000465e+01	3.000465e+01
5.294825280724937e-02	-3.000465e+01	3.000465e+01
5.392481530724937e-02	-3.000465e+01	3.000465e+01
5.429542327407802e-02	-3.000481e+01	3.000481e+01
5.461710969789572e-02	-3.000918e+01	3.000918e+01
5.492702633248116e-02	-3.002208e+01	3.002208e+01
5.527287302383641e-02	-3.003767e+01	3.003767e+01
5.574411428280417e-02	-3.004788e+01	3.004788e+01
5.583952603347571e-02	-3.004836e+01	3.004836e+01
5.603034953481878e-02	-3.004836e+01	3.004836e+01
5.641199653750492e-02	-3.004836e+01	3.004836e+01
5.717529054287721e-02	-3.004836e+01	3.004836e+01
5.815185304287721e-02	-3.004836e+01	3.004836e+01
5.912841554287721e-02	-3.004836e+01	3.004836e+01
6.010497804287721e-02	-3.004836e+01	3.004836e+01
6.108154054287721e-02	-3.004836e+01	3.004836e+01
6.205810304287721e-02	-3.004836e+01	3.004836e+01
6.303466554287721e-02	-3.004836e+01	3.004836e+01
6.401122804287721e-02	-3.004836e+01	3.004836e+01
6.435988732870770e-02	-3.004882e+01	3.004882e+01
6.469582892114126e-02	-3.005325e+01	3.005325e+01
6.506683925514931e-02	-3.006464e+01	3.006464e+01
6.540883251161343e-02	-3.007336e+01	3.007336e+01
6.596500387688504e-02	-3.007707e+01	3.007707e+01
6.607713944554397e-02	-3.007707e+01	3.007707e+01
6.630141058286181e-02	-3.007707e+01	3.007707e+01
6.674995285749748e-02	-3.007707e+01	3.007707e+01
6.764703740676882e-02	-3.007707e+01	3.007707e+01
