Freq.	Vline_out	Vriaa   Vriaa_isolated
5.24807460249771e+000	5.57897016716700e+001	3.78851779703855e+001   3.79972467871179e+001
5.37031796370252e+000	5.59740997380067e+001	3.80695760367267e+001   3.81816448540896e+001
5.49540873857623e+000	5.61578104856277e+001	3.82532867843523e+001   3.83653556023701e+001
5.62341325190348e+000	5.63408054652145e+001	3.84362817639439e+001   3.85483505826413e+001
5.75439937337156e+000	5.65230552411438e+001	3.86185315398783e+001   3.87306003592812e+001
5.88843655355588e+000	5.67045293727682e+001	3.88000056715080e+001   3.89120744916435e+001
6.02559586074356e+000	5.68851963968025e+001	3.89806726955479e+001   3.90927415164415e+001
6.16595001861481e+000	5.70650238109764e+001	3.91605001097276e+001   3.92725689314113e+001
6.30957344480192e+000	5.72439780591136e+001	3.93394543578710e+001   3.94515231803718e+001
6.45654229034654e+000	5.74220245178147e+001	3.95175008165784e+001   3.96295696399259e+001
6.60693448007594e+000	5.75991274849176e+001	3.96946037836880e+001   3.98066726079103e+001
6.76082975391980e+000	5.77752501699275e+001	3.98707264687050e+001   3.99827952938357e+001
6.91830970918935e+000	5.79503546866234e+001	4.00458309854081e+001   4.01578998114780e+001
7.07945784384136e+000	5.81244020479972e+001	4.02198783467897e+001   4.03319471738315e+001
7.24435960074988e+000	5.82973521637774e+001	4.03928284625779e+001   4.05048972906209e+001
7.41310241300916e+000	5.84691638407111e+001	4.05646401395201e+001   4.06767089686031e+001
7.58577575029182e+000	5.86397947858292e+001	4.07352710846469e+001   4.08473399147990e+001
7.76247116628690e+000	5.88092016128821e+001	4.09046779117091e+001   4.10167467429640e+001
7.94328234724279e+000	5.89773398521589e+001	4.10728161509956e+001   4.11848849833917e+001
8.12830516164097e+000	5.91441639639178e+001	4.12396402627646e+001   4.13517090963322e+001
8.31763771102669e+000	5.93096273555544e+001	4.14051036544118e+001   4.15171724891847e+001
8.51138038202374e+000	5.94736824027657e+001	4.15691587016342e+001   4.16812275376504e+001
8.70963589956078e+000	5.96362804748473e+001	4.17317567737274e+001   4.18438256110184e+001
8.91250938133743e+000	5.97973719642580e+001	4.18928482631503e+001   4.20049171017533e+001
9.12010839355907e+000	5.99569063206669e+001	4.20523826195720e+001   4.21644514595227e+001
9.33254300796988e+000	6.01148320895224e+001	4.22103083884409e+001   4.23223772297700e+001
9.54992586021433e+000	6.02710969552790e+001	4.23665732542113e+001   4.24786420969555e+001
9.77237220955808e+000	6.04256477893823e+001	4.25211240883294e+001   4.26331929325212e+001
9.99999999999997e+000	6.05784307029814e+001	4.26739070019438e+001   4.27859758476166e+001
1.02329299228075e+001	6.07293911044530e+001	4.28248674034315e+001   4.29369362506135e+001
1.04712854805090e+001	6.08784737616422e+001	4.29739500606374e+001   4.30860189093656e+001
1.07151930523760e+001	6.10256228688267e+001	4.31210991678395e+001   4.32331680181390e+001
1.09647819614318e+001	6.11707821182200e+001	4.32662584172513e+001   4.33783272691520e+001
1.12201845430196e+001	6.13138947759311e+001	4.34093710749817e+001   4.35214399285119e+001
1.14815362149688e+001	6.14549037621498e+001	4.35503800612206e+001   4.36624489164048e+001
1.17489755493953e+001	6.15937517353280e+001	4.36892280344200e+001   4.38012968912828e+001
1.20226443461741e+001	6.17303811800679e+001	4.38258574791820e+001   4.39379263377459e+001
1.23026877081238e+001	6.18647344984020e+001	4.39602107975393e+001   4.40722796578208e+001
1.25892541179416e+001	6.19967541040497e+001	4.40922304032113e+001   4.42042992652308e+001
1.28824955169313e+001	6.21263825192841e+001	4.42218588184711e+001   4.43339276822410e+001
1.31825673855640e+001	6.22535624738915e+001	4.43490387731052e+001   4.44611076386410e+001
1.34896288259165e+001	6.23782370057612e+001	4.44737133050027e+001   4.45857821723107e+001
1.38038426460288e+001	6.25003495625523e+001	4.45958258618231e+001   4.47078947309092e+001
1.41253754462275e+001	6.26198441038822e+001	4.47153204031836e+001   4.48273892740526e+001
1.44543977074592e+001	6.27366652034471e+001	4.48321415027805e+001   4.49442103754316e+001
1.47910838816820e+001	6.28507581504723e+001	4.49462344498392e+001   4.50583033242662e+001
1.51356124843620e+001	6.29620690498780e+001	4.50575453492800e+001   4.51696142254743e+001
1.54881661891248e+001	6.30705449205431e+001	4.51660212199820e+001   4.52780900979331e+001
1.58489319246111e+001	6.31761337910785e+001	4.52716100905559e+001   4.53836789702466e+001
1.62181009735892e+001	6.32787847924953e+001	4.53742610920130e+001   4.54863299734212e+001
1.65958690743755e+001	6.33784482472131e+001	4.54739245467730e+001   4.55859934298714e+001
1.69824365246174e+001	6.34750757538752e+001	4.55705520534793e+001   4.56826209382421e+001
1.73780082874937e+001	6.35686202674955e+001	4.56640965671459e+001   4.57761654535344e+001
1.77827941003892e+001	6.36590361744573e+001	4.57545124741562e+001   4.58665813621338e+001
1.81970085860998e+001	6.37462793620366e+001	4.58417556617863e+001   4.59538245513043e+001
1.86208713666286e+001	6.38303072820992e+001	4.59257835819020e+001   4.60378524729113e+001
1.90546071796324e+001	6.39110790087399e+001	4.60065553085984e+001   4.61186242010431e+001
1.94984459975804e+001	6.39885552897070e+001	4.60840315896238e+001   4.61961004834446e+001
1.99526231496887e+001	6.40626985915220e+001	4.61581748914999e+001   4.62702437866312e+001
2.04173794466952e+001	6.41334731382869e+001	4.62289494383286e+001   4.63410183346980e+001
2.08929613085403e+001	6.42008449442727e+001	4.62963212443814e+001   4.64083901419122e+001
2.13796208950222e+001	6.42647818404549e+001	4.63602581406336e+001   4.64723270392451e+001
2.18776162394954e+001	6.43252534952344e+001	4.64207297954866e+001   4.65327986950920e+001
2.23872113856833e+001	6.43822314296728e+001	4.64777077300017e+001   4.65897766305082e+001
2.29086765276776e+001	6.44356890276266e+001	4.65311653280360e+001   4.66432342293463e+001
2.34422881531991e+001	6.44856015412544e+001	4.65810778417480e+001   4.66931467437592e+001
2.39883291901948e+001	6.45319460924001e+001	4.66274223929820e+001   4.67394912955868e+001
2.45470891568502e+001	6.45747016703917e+001	4.66701779710660e+001   4.67822468741524e+001
2.51188643150957e+001	6.46138491268906e+001	4.67093254276616e+001   4.68213943311122e+001
2.57039578276885e+001	6.46493711683580e+001	4.67448474692303e+001   4.68569163729239e+001
2.63026799189537e+001	6.46812523468140e+001	4.67767286477924e+001   4.68887975516048e+001
2.69153480392690e+001	6.47094790494740e+001	4.68049553505635e+001   4.69170242543617e+001
2.75422870333815e+001	6.47340394878936e+001	4.68295157890994e+001   4.69415846927478e+001
2.81838293126444e+001	6.47549236872079e+001	4.68503999885354e+001   4.69624688919001e+001
2.88403150312659e+001	6.47721234760368e+001	4.68675997774919e+001   4.69796686804297e+001
2.95120922666637e+001	6.47856324774916e+001	4.68811087790802e+001   4.69931776814458e+001
3.01995172040200e+001	6.47954461017959e+001	4.68909224035243e+001   4.70029913051704e+001
3.09029543251358e+001	6.48015615408718e+001	4.68970378427466e+001   4.70091067435196e+001
3.16227766016837e+001	6.48039777651623e+001	4.68994540671904e+001   4.70115229669369e+001
3.23593656929627e+001	6.48026955229542e+001	4.68981718251429e+001   4.70102407237019e+001
3.31131121482590e+001	6.47977173423020e+001	4.68931936446588e+001   4.70052625418750e+001
3.38844156139201e+001	6.47890475356204e+001	4.68845238381532e+001   4.69965927338624e+001
3.46736850452530e+001	6.47766922068795e+001	4.68721685095966e+001   4.69842374036347e+001
3.54813389233574e+001	6.47606592612892e+001	4.68561355641994e+001   4.69682044564001e+001
3.63078054770100e+001	6.47409584172565e+001	4.68364347203687e+001   4.69485036105638e+001
3.71535229097171e+001	6.47176012203038e+001	4.68130775236276e+001   4.69251464116474e+001
3.80189396320559e+001	6.46906010586003e+001	4.67860773621458e+001   4.68981462478172e+001
3.89045144994279e+001	6.46599731796370e+001	4.67554494834144e+001   4.68675183665640e+001
3.98107170553495e+001	6.46257347075893e+001	4.67212110116098e+001   4.68332798920652e+001
4.07380277804111e+001	6.45879046607992e+001	4.66833809650741e+001   4.67954498426561e+001
4.16869383470333e+001	6.45465039687854e+001	4.66419802733267e+001   4.67540491478609e+001
4.26579518801591e+001	6.45015554882297e+001	4.65970317930500e+001   4.67091006643550e+001
4.36515832240164e+001	6.44530840172491e+001	4.65485603223616e+001   4.66606291902598e+001
4.46683592150961e+001	6.44011163074183e+001	4.64965926128367e+001   4.66086614771456e+001
4.57088189614873e+001	6.43456810728634e+001	4.64411573786021e+001   4.65532262391378e+001
4.67735141287196e+001	6.42868089959031e+001	4.63822853019772e+001   4.64943541585580e+001
4.78630092322636e+001	6.42245327286731e+001	4.63200090350984e+001   4.64320778875350e+001
4.89778819368444e+001	6.41588868902237e+001	4.62543631970168e+001   4.63664320451220e+001
5.01187233627270e+001	6.40899080586679e+001	4.61853843658461e+001   4.62974532094324e+001
5.12861383991362e+001	6.40176347580160e+001	4.61131110655974e+001   4.62251799044701e+001
5.24807460249770e+001	6.39421074393364e+001	4.60375837473401e+001   4.61496525813058e+001
5.37031796370250e+001	6.38633684560804e+001	4.59588447645263e+001   4.60709135933875e+001
5.49540873857622e+001	6.37814620333757e+001	4.58769383422845e+001   4.59890071658409e+001
5.62341325190346e+001	6.36964342312495e+001	4.57919105406432e+001   4.59039793586909e+001
5.75439937337154e+001	6.36083329017708e+001	4.57038092116721e+001   4.58158780240037e+001
5.88843655355586e+001	6.35172076402511e+001	4.56126839506840e+001   4.57247527570873e+001
6.02559586074355e+001	6.34231097306435e+001	4.55185860416331e+001   4.56306548418900e+001
6.16595001861479e+001	6.33260920854253e+001	4.54215683969977e+001   4.55336371908866e+001
6.30957344480190e+001	6.32262091802829e+001	4.53216854924657e+001   4.54337542797594e+001
6.45654229034652e+001	6.31235169839820e+001	4.52189932968040e+001   4.53310620772680e+001
6.60693448007593e+001	6.30180728838865e+001	4.51135491973777e+001   4.52256179707728e+001
6.76082975391978e+001	6.29099356076256e+001	4.50054119218176e+001   4.51174806878922e+001
6.91830970918933e+001	6.27991651414236e+001	4.48946414563494e+001   4.50067102148505e+001
7.07945784384134e+001	6.26858226457060e+001	4.47812989614001e+001   4.48933677120613e+001
7.24435960074986e+001	6.25699703685487e+001	4.46654466850474e+001   4.47775154275916e+001
7.41310241300914e+001	6.24516715575655e+001	4.45471478749067e+001   4.46592166090502e+001
7.58577575029180e+001	6.23309903709019e+001	4.44264666891254e+001   4.45385354145724e+001
7.76247116628688e+001	6.22079917878828e+001	4.43034681070301e+001   4.44155368234700e+001
7.94328234724277e+001	6.20827415199452e+001	4.41782178400598e+001   4.42902865471737e+001
8.12830516164095e+001	6.19553059224409e+001	4.40507822435684e+001   4.41628509410186e+001
8.31763771102667e+001	6.18257519078341e+001	4.39212282300223e+001   4.40332969174627e+001
8.51138038202372e+001	6.16941468608513e+001	4.37896231841502e+001   4.39016918612130e+001
8.70963589956076e+001	6.15605585560318e+001	4.36560348804936e+001   4.37681035467970e+001
8.91250938133741e+001	6.14250550781474e+001	4.35205314038270e+001   4.36326000589727e+001
9.12010839355905e+001	6.12877047458915e+001	4.33831810728464e+001   4.34952497164160e+001
9.33254300796986e+001	6.11485760391613e+001	4.32440523674514e+001   4.33561209990074e+001
9.54992586021431e+001	6.10077375302738e+001	4.31032138599622e+001   4.32152824790447e+001
9.77237220955805e+001	6.08652578193390e+001	4.29607341504915e+001   4.30728027566197e+001
9.99999999999995e+001	6.07212054740038e+001	4.28166818066894e+001   4.29287503993579e+001
1.02329299228075e+002	6.05756489737274e+001	4.26711253080184e+001   4.27831938867008e+001
1.04712854805089e+002	6.04286566586710e+001	4.25241329946430e+001   4.26362015587849e+001
1.07151930523760e+002	6.02802966832806e+001	4.23757730210130e+001   4.24878415700305e+001
1.09647819614318e+002	6.01306369745523e+001	4.22261133141279e+001   4.23381818474095e+001
1.12201845430196e+002	5.99797451949579e+001	4.20752215364635e+001   4.21872900533687e+001
1.14815362149688e+002	5.98276887099571e+001	4.19231650534839e+001   4.20352335533385e+001
1.17489755493952e+002	5.96745345599636e+001	4.17700109056066e+001   4.18820793877060e+001
1.20226443461741e+002	5.95203494366491e+001	4.16158257845082e+001   4.17278942481074e+001
1.23026877081237e+002	5.93651996633489e+001	4.14606760135284e+001   4.15727444578545e+001
1.25892541179416e+002	5.92091511794243e+001	4.13046275320337e+001   4.14166959562662e+001
1.28824955169313e+002	5.90522695282555e+001	4.11477458834092e+001   4.12598142866921e+001
1.31825673855640e+002	5.88946198486882e+001	4.09900962065063e+001   4.11021645879388e+001
1.34896288259165e+002	5.87362668695542e+001	4.08317432301621e+001   4.09438115888032e+001
1.38038426460288e+002	5.85772749070481e+001	4.06727512705773e+001   4.07848196054318e+001
1.41253754462275e+002	5.84177078645425e+001	4.05131842311307e+001   4.06252525411623e+001
1.44543977074592e+002	5.82576292345793e+001	4.03531056043707e+001   4.04651738884891e+001
1.47910838816820e+002	5.80971021026274e+001	4.01925784757729e+001   4.03046467328332e+001
1.51356124843620e+002	5.79361891522832e+001	4.00316655289408e+001   4.01437337577415e+001
1.54881661891247e+002	5.77749526715016e+001	3.98704290518369e+001   3.99824972511193e+001
1.58489319246110e+002	5.76134545595063e+001	3.97089309436928e+001   3.98209991121385e+001
1.62181009735892e+002	5.74517563339992e+001	3.95472327222182e+001   3.96593008584407e+001
1.65958690743755e+002	5.72899191382445e+001	3.93853955306861e+001   3.94974636332355e+001
1.69824365246173e+002	5.71280037476843e+001	3.92234801445474e+001   3.93355482119004e+001
1.73780082874936e+002	5.69660705756626e+001	3.90615469771558e+001   3.91736150077156e+001
1.77827941003891e+002	5.68041796778818e+001	3.88996560842231e+001   3.90117240763164e+001
1.81970085860997e+002	5.66423907552213e+001	3.87378671666393e+001   3.88499351185096e+001
1.86208713666286e+002	5.64807631545175e+001	3.85762395712514e+001   3.86883074810638e+001
1.90546071796323e+002	5.63193558669535e+001	3.84148322892539e+001   3.85269001550771e+001
1.94984459975803e+002	5.61582275236873e+001	3.82537039518165e+001   3.83657717716319e+001
1.99526231496887e+002	5.59974363883713e+001	3.80929128226039e+001   3.82049805942938e+001
2.04173794466952e+002	5.58370403462261e+001	3.79325167868499e+001   3.80445845081970e+001
2.08929613085403e+002	5.56770968893533e+001	3.77725733366694e+001   3.78846410053463e+001
2.13796208950222e+002	5.55176630979763e+001	3.76131395523002e+001   3.77252071658713e+001
2.18776162394954e+002	5.53587956173376e+001	3.74542720789995e+001   3.75663396349123e+001
2.23872113856832e+002	5.52005506299855e+001	3.72960270993313e+001   3.74080945949102e+001
2.29086765276776e+002	5.50429838232252e+001	3.71384603006169e+001   3.72505277330584e+001
2.34422881531991e+002	5.48861503515360e+001	3.69816268373529e+001   3.70936942037230e+001
2.39883291901947e+002	5.47301047937797e+001	3.68255812884188e+001   3.69376485856389e+001
2.45470891568501e+002	5.45749011050673e+001	3.66703776089444e+001   3.67824448337933e+001
2.51188643150956e+002	5.44205925631999e+001	3.65160690767505e+001   3.66281362258511e+001
2.57039578276885e+002	5.42672317096159e+001	3.63627082332958e+001   3.64747753031133e+001
2.63026799189536e+002	5.41148702848660e+001	3.62103468191525e+001   3.63224138059828e+001
2.69153480392690e+002	5.39635591586098e+001	3.60590357040029e+001   3.61711026039653e+001
2.75422870333815e+002	5.38133482542851e+001	3.59088248113081e+001   3.60208916203387e+001
2.81838293126443e+002	5.36642864685479e+001	3.57597630377489e+001   3.58718297515918e+001
2.88403150312659e+002	5.35164215857013e+001	3.56118981676544e+001   3.57239647818507e+001
2.95120922666637e+002	5.33698001873758e+001	3.54652767826819e+001   3.55773432925621e+001
3.01995172040200e+002	5.32244675577626e+001	3.53199441670510e+001   3.54320105677215e+001
3.09029543251357e+002	5.30804675847639e+001	3.51759442086935e+001   3.52880104950350e+001
3.16227766016836e+002	5.29378426575142e+001	3.50333192967751e+001   3.51453854634233e+001
3.23593656929626e+002	5.27966335607435e+001	3.48921102160583e+001   3.50041762573944e+001
3.31131121482589e+002	5.26568793665006e+001	3.47523560386258e+001   3.48644219487627e+001
3.38844156139200e+002	5.25186173238609e+001	3.46140940135888e+001   3.47261597863676e+001
3.46736850452529e+002	5.23818827472447e+001	3.44773594554049e+001   3.45894250843702e+001
3.54813389233573e+002	5.22467089040059e+001	3.43421856314670e+001   3.44542511098620e+001
3.63078054770099e+002	5.21131269020583e+001	3.42086036497300e+001   3.43206689704768e+001
3.71535229097170e+002	5.19811655782329e+001	3.40766423470677e+001   3.41887075027523e+001
3.80189396320558e+002	5.18508513881998e+001	3.39463281791950e+001   3.40583931620565e+001
3.89045144994278e+002	5.17222082987054e+001	3.38176851129054e+001   3.39297499148151e+001
3.98107170553494e+002	5.15952576829520e+001	3.36907345214505e+001   3.38027991338979e+001
4.07380277804110e+002	5.14700182199247e+001	3.35654950838669e+001   3.36775594979353e+001
4.16869383470332e+002	5.13465057984320e+001	3.34419826890169e+001   3.35540468953740e+001
4.26579518801589e+002	5.12247334266825e+001	3.33202103451657e+001   3.34322743340342e+001
4.36515832240163e+002	5.11047111480970e+001	3.32001880957934e+001   3.33122518569384e+001
4.46683592150960e+002	5.09864459641095e+001	3.30819229423958e+001   3.31939864650992e+001
4.57088189614872e+002	5.08699417645937e+001	3.29654187749116e+001   3.30774820479477e+001
4.67735141287195e+002	5.07551992665441e+001	3.28506763104032e+001   3.29627393220181e+001
4.78630092322635e+002	5.06422159615461e+001	3.27376930405272e+001   3.28497557784112e+001
4.89778819368443e+002	5.05309860725269e+001	3.26264631882852e+001   3.27385256395507e+001
5.01187233627268e+002	5.04215005202058e+001	3.25169776744745e+001   3.26290398256270e+001
5.12861383991361e+002	5.03137468995293e+001	3.24092240941234e+001   3.25212859310290e+001
5.24807460249769e+002	5.02077094663802e+001	3.23031867032002e+001   3.24152482110575e+001
5.37031796370249e+002	5.01033691346979e+001	3.21988464157338e+001   3.23109075790485e+001
5.49540873857620e+002	5.00007034840914e+001	3.20961808114271e+001   3.22082416139714e+001
5.62341325190345e+002	4.98996867779253e+001	3.19951641537427e+001   3.21072245785237e+001
5.75439937337152e+002	4.98002899917986e+001	3.18957674183827e+001   3.20078274476068e+001
5.88843655355584e+002	4.97024808522460e+001	3.17979583319893e+001   3.19100179470255e+001
6.02559586074353e+002	4.96062238853950e+001	3.17017014208029e+001   3.18137606021407e+001
6.16595001861477e+002	4.95114804753090e+001	3.16069580690048e+001   3.17190167962157e+001
6.30957344480188e+002	4.94182089315788e+001	3.15136865863096e+001   3.16257448380022e+001
6.45654229034650e+002	4.93263645658061e+001	3.14218422844483e+001   3.15339000382209e+001
6.60693448007591e+002	4.92358997764303e+001	3.13313775619960e+001   3.14434347943959e+001
6.76082975391976e+002	4.91467641414673e+001	3.12422419971105e+001   3.13542986835740e+001
6.91830970918931e+002	4.90589045185363e+001	3.11543824475597e+001   3.12664385623690e+001
7.07945784384132e+002	4.89722651516951e+001	3.10677431575568e+001   3.11797986737840e+001
7.24435960074984e+002	4.88867877844592e+001	3.09822658707807e+001   3.10943207602257e+001
7.41310241300911e+002	4.88024117784733e+001	3.08978899490465e+001   3.10099441821812e+001
7.58577575029177e+002	4.87190742372376e+001	3.08145524960332e+001   3.09266060419416e+001
7.76247116628685e+002	4.86367101343878e+001	3.07321884855635e+001   3.08442413118704e+001
7.94328234724275e+002	4.85552524459392e+001	3.06507308938488e+001   3.07627829666548e+001
8.12830516164092e+002	4.84746322860520e+001	3.05701108352543e+001   3.06821621190616e+001
8.31763771102664e+002	4.83947790458009e+001	3.04902577010698e+001   3.06023081587120e+001
8.51138038202369e+002	4.83156205345362e+001	3.04110993008704e+001   3.05231488934273e+001
8.70963589956073e+002	4.82370831234243e+001	3.03325620060582e+001   3.04446106927763e+001
8.91250938133738e+002	4.81590918907961e+001	3.02545708952107e+001   3.03666186334200e+001
9.12010839355902e+002	4.80815707689988e+001	3.01770499009334e+001   3.02890966459522e+001
9.33254300796983e+002	4.80044426924377e+001	3.00999219579022e+001   3.02119676629437e+001
9.54992586021428e+002	4.79276297465545e+001	3.00231091518420e+001   3.01351537679193e+001
9.77237220955802e+002	4.78510533175441e+001	2.99465328692441e+001   3.00585763450604e+001
9.99999999999991e+002	4.77746342425724e+001	2.98701139475853e+001   2.99821562294304e+001
1.02329299228075e+003	4.76982929603727e+001	2.97937728259237e+001   2.99058138575552e+001
1.04712854805089e+003	4.76219496620180e+001	2.97174296956732e+001   2.98294694182051e+001
1.07151930523760e+003	4.75455244417761e+001	2.96410046514579e+001   2.97530430032290e+001
1.09647819614318e+003	4.74689374478887e+001	2.95644178418930e+001   2.96764547583377e+001
1.12201845430195e+003	4.73921090331411e+001	2.94875896201547e+001   2.95996250336716e+001
1.14815362149687e+003	4.73149599051206e+001	2.94104406942398e+001   2.95224745340415e+001
1.17489755493952e+003	4.72374112759778e+001	2.93328922767276e+001   2.94449244686993e+001
1.20226443461740e+003	4.71593850115659e+001	2.92548662339200e+001   2.93668967004531e+001
1.23026877081237e+003	4.70808037797417e+001	2.91762852341440e+001   2.92883138939805e+001
1.25892541179416e+003	4.70015911976622e+001	2.90970728950488e+001   2.92090996631048e+001
1.28824955169312e+003	4.69216719777888e+001	2.90171539296112e+001   2.91291787167987e+001
1.31825673855640e+003	4.68409720723711e+001	2.89364542906204e+001   2.90484770036620e+001
1.34896288259164e+003	4.67594188160766e+001	2.88549013133091e+001   2.89669218545347e+001
1.38038426460287e+003	4.66769410664221e+001	2.87724238557859e+001   2.88844421229325e+001
1.41253754462274e+003	4.65934693416368e+001	2.86889524368997e+001   2.88009683228904e+001
